UC-0,Change Description,UR-1,UR-2,UR-3,UR-4,UR-5,UR-6,UR-7,UR-8,UR-9,UR-10,#,UT-1,UT-2,UT-3,UT-4,UT-5,Ut-6,UT-7,UT-8,UT-9,UT-10,UT-11,UT-12,UT-13,UT-14,UT-15,UT-16,UT-17,UT-18,UT-19,UT-20
UC-1,User login Page changed,1,0,0,0,0,0,0,0,0,0,#,100,100,100,60,30,30,30,30,60,60,60,60,60,30,60,30,30,30,30,30
UC-2,new virtual env added,0,1,0,0,1,0,0,0,1,0,#,30,30,30,30,100,30,30,60,60,30,60,60,60,100,100,60,60,100,30,30
UC-3,database upgrade,0,1,0,0,0,1,0,0,0,0,#,100,100,100,100,30,60,30,30,100,100,30,60,60,60,30,30,30,30,100,100
UC-4,Django package upgrade,1,1,1,1,1,1,0,0,0,0,#,100,100,100,60,60,100,60,100,100,100,30,100,60,60,60,30,30,30,100,100
UC-5,Jira package upgrade,0,0,0,1,1,0,0,0,0,1,#,30,30,30,30,30,30,100,100,30,30,100,30,60,60,60,30,30,30,30,30
UC-6,slack package upgrade,0,0,0,0,1,0,0,1,0,0,#,30,30,30,60,60,30,30,30,30,30,30,60,60,60,60,100,60,30,30,30
UC-7,email package upgrade,0,0,0,0,1,0,1,0,0,0,#,30,30,30,60,60,30,30,30,30,30,30,60,60,30,60,30,100,30,30,30
UC-8,virtual env packge upgrade,0,0,0,0,1,0,0,0,1,0,#,30,30,30,60,60,60,60,60,30,30,30,30,60,60,60,60,60,100,30,60
UC-9,wsgi upgrade,1,1,1,1,1,1,0,0,0,0,#,100,100,100,60,60,100,60,100,100,100,30,100,60,60,60,30,30,30,100,100
UC-10,Jquery upgrade,0,1,1,1,1,1,0,0,0,0,#,30,30,30,60,60,100,60,100,100,100,30,100,60,60,60,30,30,30,100,100
UC-11,Bootstrap upgrade,1,1,1,1,1,1,0,0,0,0,#,100,100,100,60,60,100,60,100,100,100,30,100,60,60,60,30,30,30,100,100
UC-12,python upgrade,1,1,1,1,1,1,1,1,1,1,#,60,60,30,100,100,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
UC-13,fresh installation,1,1,1,1,1,1,1,1,1,1,#,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
UC-14,Linux upgrade,1,1,1,1,1,1,1,1,1,1,#,100,100,100,100,100,60,60,60,60,60,60,30,60,60,60,60,60,60,60,60
UC-15,slack token upgrade,0,0,0,0,1,0,0,1,0,0,#,30,30,30,100,60,30,30,30,30,30,30,30,60,60,60,100,30,30,30,30
UC-16,email credential upgrade,0,0,0,0,1,0,1,0,0,0,#,30,30,30,60,60,30,30,30,30,30,30,30,60,60,60,30,100,30,30,30
UC-17,Jira credential upgrade,0,0,0,1,1,0,0,0,0,1,#,30,30,30,60,60,30,100,30,30,30,100,30,100,60,60,30,30,30,30,30
UC-18,new project creation,0,1,1,1,1,1,0,0,0,0,#,60,60,60,30,60,100,60,30,60,100,30,30,30,30,30,30,30,30,100,100
UC-19,new testcase creation,0,1,0,1,0,0,0,0,0,1,#,30,30,30,30,60,100,100,30,60,100,30,30,60,30,30,30,30,30,100,100
UC-20,new testrun(rerun) creation,0,1,0,0,1,1,1,1,1,0,#,30,30,30,60,100,30,30,100,100,100,60,30,100,100,60,60,60,30,30,30
UC-21,opening in other browser,1,1,1,1,1,1,0,0,0,0,#,60,60,60,30,30,60,30,30,60,60,30,60,30,30,60,30,30,60,30,30
UC-22,opening in other OS Browser,1,1,1,1,1,1,0,0,0,0,#,60,60,60,30,30,60,30,30,60,60,30,60,30,30,60,30,30,60,30,30
UC-23,opening in Phone,1,1,1,1,1,1,0,0,0,0,#,60,60,60,30,30,60,30,30,60,60,30,60,30,30,60,30,30,60,30,30
UC-24,modifying models,1,1,1,1,1,1,0,0,0,0,#,100,100,100,100,60,100,60,60,100,100,100,60,100,100,60,60,60,100,100,100
UC-25,apache upgrade,1,1,1,1,1,1,0,0,0,0,#,60,60,60,60,60,60,60,60,60,60,30,100,60,60,30,30,30,60,60,60
UC-26,new JIRA server addition,1,0,0,1,0,0,0,0,0,1,#,30,30,30,60,60,60,100,60,30,30,100,30,60,60,60,30,30,30,30,100
UC-27,usa-s engine upgrade,0,0,0,1,1,1,0,0,1,0,#,30,30,30,100,100,30,30,100,30,30,100,100,60,100,100,100,100,60,30,30
UC-28,django templates change,1,1,1,1,1,1,0,0,0,0,#,100,100,100,60,100,100,30,30,60,100,30,60,30,60,30,30,30,60,60,60
UC-29,database migration,0,1,1,1,1,1,0,0,0,0,#,60,60,60,100,60,100,60,30,100,100,60,60,60,100,100,60,60,100,100,100
UC-30,new testrun(testplanning) creation,0,0,0,1,1,1,1,1,1,1,#,30,30,30,60,60,100,100,100,60,60,60,60,100,100,60,60,60,100,100,100
UC-31,new testrun(fileupload) creation,0,0,1,0,1,1,1,1,1,1,#,30,30,30,60,60,30,30,100,60,60,60,60,100,100,60,60,60,100,60,30
UC-32,new user creation,1,1,1,1,1,1,1,1,1,1,#,100,100,100,30,60,30,30,30,60,100,30,30,30,30,60,30,30,30,30,30

